Sentence #,Word,POS
Sentence: 1,El,da0ms0
Sentence: 1,grupo,ncms000
Sentence: 1,estatal,aq0cs0
Sentence: 1,Electricité_de_France,np00000
Sentence: 1,-Fpa-,Fpa
Sentence: 1,EDF,np00000
Sentence: 1,-Fpt-,Fpt
Sentence: 1,anunció,vmis3s0
Sentence: 1,hoy,rg
Sentence: 1,",",Fc
Sentence: 1,jueves,W
Sentence: 1,",",Fc
Sentence: 1,la,da0fs0
Sentence: 1,compra,ncfs000
Sentence: 1,del,spcms
Sentence: 1,51_por_ciento,Zp
Sentence: 1,de,sps00
Sentence: 1,la,da0fs0
Sentence: 1,empresa,ncfs000
Sentence: 1,mexicana,aq0fs0
Sentence: 1,Electricidad_Águila_de_Altamira,np00000
Sentence: 1,-Fpa-,Fpa
Sentence: 1,EAA,np00000
Sentence: 1,-Fpt-,Fpt
Sentence: 1,",",Fc
Sentence: 1,creada,aq0fsp
Sentence: 1,por,sps00
Sentence: 1,el,da0ms0
Sentence: 1,japonés,aq0ms0
Sentence: 1,Mitsubishi_Corporation,np00000
Sentence: 1,para,sps00
Sentence: 1,poner_en_marcha,vmn0000
Sentence: 1,una,di0fs0
Sentence: 1,central,ncfs000
Sentence: 1,de,sps00
Sentence: 1,gas,ncms000
Sentence: 1,de,sps00
Sentence: 1,495,Z
Sentence: 1,megavatios,ncmp000
Sentence: 1,.,Fp
Sentence: 2,Una,di0fs0
Sentence: 2,portavoz,nccs000
Sentence: 2,de,sps00
Sentence: 2,EDF,np00000
Sentence: 2,explicó,vmis3s0
Sentence: 2,a,sps00
Sentence: 2,EFE,np00000
Sentence: 2,que,cs
Sentence: 2,el,da0ms0
Sentence: 2,proyecto,ncms000
Sentence: 2,para,sps00
Sentence: 2,la,da0fs0
Sentence: 2,construcción,ncfs000
Sentence: 2,de,sps00
Sentence: 2,Altamira_2,np00000
Sentence: 2,",",Fc
Sentence: 2,al,spcms
Sentence: 2,norte,ncms000
Sentence: 2,de,sps00
Sentence: 2,Tampico,np00000
Sentence: 2,",",Fc
Sentence: 2,prevé,vmm02s0
Sentence: 2,la,da0fs0
Sentence: 2,utilización,ncfs000
Sentence: 2,de,sps00
Sentence: 2,gas,ncms000
Sentence: 2,natural,aq0cs0
Sentence: 2,como,cs
Sentence: 2,combustible,ncms000
Sentence: 2,principal,aq0cs0
Sentence: 2,en,sps00
Sentence: 2,una,di0fs0
Sentence: 2,central,ncfs000
Sentence: 2,de,sps00
Sentence: 2,ciclo,ncms000
Sentence: 2,combinado,aq0msp
Sentence: 2,que,pr0cn000
Sentence: 2,debe,vmip3s0
Sentence: 2,empezar,vmn0000
Sentence: 2,a,sps00
Sentence: 2,funcionar,vmn0000
Sentence: 2,en,sps00
Sentence: 2,mayo_del_2002,W
Sentence: 2,.,Fp
Sentence: 3,La,da0fs0
Sentence: 3,electricidad,ncfs000
Sentence: 3,producida,aq0fsp
Sentence: 3,pasará,vmif3s0
Sentence: 3,a,sps00
Sentence: 3,la,da0fs0
Sentence: 3,red,ncfs000
Sentence: 3,eléctrica,aq0fs0
Sentence: 3,pública,aq0fs0
Sentence: 3,de,sps00
Sentence: 3,México,np00000
Sentence: 3,en_virtud_de,sps00
Sentence: 3,un,di0ms0
Sentence: 3,acuerdo,ncms000
Sentence: 3,de,sps00
Sentence: 3,venta,ncfs000
Sentence: 3,de,sps00
Sentence: 3,energía,ncfs000
Sentence: 3,de,sps00
Sentence: 3,EAA,np00000
Sentence: 3,con,sps00
Sentence: 3,la,da0fs0
Sentence: 3,Comisión_Federal_de_Electricidad,np00000
Sentence: 3,-Fpa-,Fpa
Sentence: 3,CFE,np00000
Sentence: 3,-Fpt-,Fpt
Sentence: 3,por,sps00
Sentence: 3,una,di0fs0
Sentence: 3,duración,ncfs000
Sentence: 3,de,sps00
Sentence: 3,25,Z
Sentence: 3,años,ncmp000
Sentence: 3,.,Fp
Sentence: 4,EDF,np00000
Sentence: 4,",",Fc
Sentence: 4,que,pr0cn000
Sentence: 4,no,rn
Sentence: 4,quiso,vmis3s0
Sentence: 4,revelar,vmn0000
Sentence: 4,cuánto,pt0ms000
Sentence: 4,*0*,sn.e-SUJ
Sentence: 4,pagó,vmis3s0
Sentence: 4,por,sps00
Sentence: 4,su,dp3cs0
Sentence: 4,participación,ncfs000
Sentence: 4,mayoritaria,aq0fs0
Sentence: 4,en,sps00
Sentence: 4,EAA,np00000
Sentence: 4,",",Fc
Sentence: 4,intervendrá,vmif3s0
Sentence: 4,como,cs
Sentence: 4,asistente,nccs000
Sentence: 4,en,sps00
Sentence: 4,la,da0fs0
Sentence: 4,construcción,ncfs000
Sentence: 4,de,sps00
Sentence: 4,Altamira_2,np00000
Sentence: 4,y,cc
Sentence: 4,",",Fc
Sentence: 4,posteriormente,rg
Sentence: 4,",",Fc
Sentence: 4,*0*,sn.e-SUJ
Sentence: 4,se,p0300000
Sentence: 4,encargará,vmif3s0
Sentence: 4,de,sps00
Sentence: 4,explotarla,vmn0000
Sentence: 4,como,cs
Sentence: 4,principal,aq0cs0
Sentence: 4,accionista,aq0cs0
Sentence: 4,.,Fp
Sentence: 5,EDF,np00000
Sentence: 5,y,cc
Sentence: 5,Mitsubishi,np00000
Sentence: 5,participaron,vmis3p0
Sentence: 5,en,sps00
Sentence: 5,1998,W
Sentence: 5,en,sps00
Sentence: 5,la,da0fs0
Sentence: 5,licitación,ncfs000
Sentence: 5,de,sps00
Sentence: 5,licencias,ncfp000
Sentence: 5,para,sps00
Sentence: 5,construir,vmn0000
Sentence: 5,centrales,ncfp000
Sentence: 5,eléctricas,aq0fp0
Sentence: 5,en,sps00
Sentence: 5,México,np00000
Sentence: 5,y,cc
Sentence: 5,*0*,sn.e-SUJ
Sentence: 5,se,p0300000
Sentence: 5,quedaron,vmis3p0
Sentence: 5,con,sps00
Sentence: 5,dos,pn0cp000
Sentence: 5,cada,di0cs0
Sentence: 5,una,pi0fs000
Sentence: 5,:,Fd
Sentence: 5,Río_Bravo,np00000
Sentence: 5,y,cc
Sentence: 5,Saltillo,np00000
Sentence: 5,para,sps00
Sentence: 5,la,da0fs0
Sentence: 5,compañía,ncfs000
Sentence: 5,francesa,aq0fs0
Sentence: 5,y,cc
Sentence: 5,Altamira,np00000
Sentence: 5,y,cc
